"","year","week","Side","V1","V2","V3"
"1",2014,1,"Central",189.17,12540,30
"2",2014,1,"FarNorth",42.5,2580,4
"3",2014,1,"FarSouthwest",6.45,180,1
"4",2014,1,"North",69.195,4740,10
"5",2014,1,"Northwest",6.7,300,1
"6",2014,1,"South",9.25,540,1
"7",2014,1,"Southeast",6.75,210,1
"8",2014,1,"Southwest",11,360,1
"9",2014,1,"West",26.65,1560,4
"10",2014,2,"Central",200.7,13260,32
"11",2014,2,"FarNorth",47.15,3000,4
"12",2014,2,"FarSouthwest",3.45,60,1
"13",2014,2,"North",74.15,5040,11
"14",2014,2,"Northwest",7.65,300,1
"15",2014,2,"South",9.85,540,1
"16",2014,2,"Southeast",9.1,420,1
"17",2014,2,"Southwest",11.75,300,1
"18",2014,2,"West",30.4,1920,4
"19",2014,3,"Central",249.5,16230,40
"20",2014,3,"FarNorth",42.1,2460,4
"21",2014,3,"FarSouthwest",5.05,120,1
"22",2014,3,"North",72.225,4800,11
"23",2014,3,"Northwest",6.5,120,1
"24",2014,3,"South",9.375,540,1
"25",2014,3,"Southeast",9.445,420,1
"26",2014,3,"Southwest",11.05,180,1
"27",2014,3,"West",30.2,1740,4
"28",2014,4,"Central",247.405,16140,39
"29",2014,4,"FarNorth",43.95,2700,4
"30",2014,4,"FarSouthwest",4.25,60,1
"31",2014,4,"North",73.15,4980,11
"32",2014,4,"Northwest",7.25,240,1
"33",2014,4,"South",8.85,480,1
"34",2014,4,"Southeast",9.45,540,1
"35",2014,4,"Southwest",11.375,120,1
"36",2014,4,"West",29.05,1680,4
"37",2014,5,"Central",235.455,15240,37
"38",2014,5,"FarNorth",41.3,2400,4
"39",2014,5,"FarSouthwest",5.55,0,1
"40",2014,5,"North",68.3,4560,10
"41",2014,5,"Northwest",6.65,240,1
"42",2014,5,"South",9.9,540,1
"43",2014,5,"Southeast",8.45,420,1
"44",2014,5,"Southwest",11.475,180,1
"45",2014,5,"West",28.6,1620,4
"46",2014,6,"Central",263.05,17640,41
"47",2014,6,"FarNorth",46.3,2880,4
"48",2014,6,"FarSouthwest",8.1,60,1
"49",2014,6,"North",71.64,4920,10
"50",2014,6,"Northwest",7.65,300,1
"51",2014,6,"South",9.75,540,1
"52",2014,6,"Southeast",10.7,480,1
"53",2014,6,"Southwest",11.35,180,1
"54",2014,6,"West",29.45,1740,4
"55",2014,7,"Central",290.33,19680,44
"56",2014,7,"FarNorth",44.02,2700,4
"57",2014,7,"FarSouthwest",7.35,330,1
"58",2014,7,"North",71.295,4680,10
"59",2014,7,"Northwest",6.85,240,1
"60",2014,7,"South",10.275,540,1
"61",2014,7,"Southeast",10.4,570,1
"62",2014,7,"Southwest",11.55,240,1
"63",2014,7,"West",30.05,1740,4
"64",2014,8,"Central",276.7,18840,42
"65",2014,8,"FarNorth",45.5,2820,4
"66",2014,8,"FarSouthwest",9.475,420,1
"67",2014,8,"North",70.9,4800,10
"68",2014,8,"Northwest",6.85,240,1
"69",2014,8,"South",9.375,540,1
"70",2014,8,"Southeast",9.3,420,1
"71",2014,8,"Southwest",11.45,300,1
"72",2014,8,"West",29.85,1740,4
"73",2014,9,"Central",279.5,18780,43
"74",2014,9,"FarNorth",45.65,2820,4
"75",2014,9,"FarSouthwest",9.89,300,1
"76",2014,9,"North",69.8,4740,10
"77",2014,9,"Northwest",6.5,240,1
"78",2014,9,"South",9.65,540,1
"79",2014,9,"Southeast",16.65,780,1
"80",2014,9,"Southwest",11.75,300,1
"81",2014,9,"West",29.825,1740,4
"82",2014,10,"Central",264.15,17640,41
"83",2014,10,"FarNorth",46.05,2820,4
"84",2014,10,"FarSouthwest",7.25,240,1
"85",2014,10,"North",65.95,4440,10
"86",2014,10,"Northwest",7.45,300,1
"87",2014,10,"South",10.275,540,1
"88",2014,10,"Southeast",7.65,390,1
"89",2014,10,"Southwest",11.55,300,1
"90",2014,10,"West",31.2,1860,5
"91",2014,11,"Central",310,21420,46
"92",2014,11,"FarNorth",44.25,2640,4
"93",2014,11,"FarSouthwest",7.85,480,1
"94",2014,11,"North",92.21,6720,13
"95",2014,11,"Northwest",7.775,300,1
"96",2014,11,"South",9.85,480,1
"97",2014,11,"Southeast",9.975,480,1
"98",2014,11,"Southwest",11.05,240,1
"99",2014,11,"West",32.625,1920,5
"100",2014,12,"Central",293.31,19680,44
"101",2014,12,"FarNorth",43.225,2520,4
"102",2014,12,"FarSouthwest",16.025,270,1
"103",2014,12,"North",64.3,4140,9
"104",2014,12,"Northwest",7.45,240,1
"105",2014,12,"South",10.85,540,1
"106",2014,12,"Southeast",7.25,420,1
"107",2014,12,"Southwest",11.75,300,1
"108",2014,12,"West",29.975,1740,4
"109",2014,13,"Central",280.8,18840,43
"110",2014,13,"FarNorth",43.295,2520,4
"111",2014,13,"FarSouthwest",8.25,210,1
"112",2014,13,"North",62,3900,9
"113",2014,13,"Northwest",7.05,240,1
"114",2014,13,"South",9.25,480,1
"115",2014,13,"Southeast",10.05,540,1
"116",2014,13,"Southwest",11.175,300,1
"117",2014,13,"West",27.275,1500,4
"118",2014,14,"Central",286.16,19380,43
"119",2014,14,"FarNorth",42.7,2460,4
"120",2014,14,"FarSouthwest",8.725,0,1
"121",2014,14,"North",74.345,4800,11
"122",2014,14,"Northwest",7.05,240,1
"123",2014,14,"South",9.3,480,1
"124",2014,14,"Southeast",6.05,180,1
"125",2014,14,"Southwest",11.55,240,1
"126",2014,14,"West",28.2,1560,4
"127",2014,15,"Central",277.075,18630,42
"128",2014,15,"FarNorth",41.1,2340,4
